,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
17649,25718,4.98,1447.12793,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,52280,0,0,0,0,36963,0,0,1.800066375297249
18816,27365,5.21,1672.14417,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,50673,10864,0,0,0,0,0,0,1.8000928565659697
24400,9095,3.453,467.35114,w/o MS2:RIKEN P-VS1 ID-3762 from Mouse_Feces_WT_N_Ctr,[M+H]+,False,5.17,467.34799,530,True,True,False,95.2,100.0,,,,0,0,0,248804,0,0,0,0,257424,0,0,0,0,256051,0,1.800171390228236
24091,26490,6.176,1548.13062,w/o MS2:RIKEN P-VS1 ID-20609 from Mouse_SmallIntestine_fads2KO_N_Ctr,[M+H]+,False,9.2,1548.13708,530,True,True,False,81.1,99.9,,,,52530,0,0,0,0,38768,0,0,0,0,0,0,0,0,0,1.8001746684872353
19775,12950,6.969,618.52118,w/o MS2:Cer 12:2;2O/30:6,[M+H]+,False,9.88,618.52448,530,True,True,False,94.7,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8003453975274337
18722,27249,5.401,1646.13306,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,36344,0,0,0,0,23256,0,0,0,70060,18080,0,1.800441099458203
7488,5527,1.744,341.30487,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,72407,50186,424266,0,0,72698,0,419409,0,0,72960,45532,395606,0,0,1.8005497064507892
21607,9599,0.897,486.29681,w/o MS2:LPE O-20:5,[M+Na]+,False,5.95,486.29791,530,True,True,False,99.4,99.9,,,,0,0,10576,29013,0,0,0,0,38818,0,0,0,0,34518,0,1.8006675322627235
27296,1249,0.417,182.08183,w/o MS2:Tyrosine,[M+Na]+,True,1.05,182.08118,530,True,True,False,99.9,100.0,,,,0,0,44451,0,0,0,0,39628,0,0,15716,0,33584,0,0,1.8007018344134442
22502,11547,2.816,560.37018,w/o MS2:PE O-8:0_16:3,[M+Na]+,False,6.94,560.37109,530,True,True,False,99.6,99.9,,,,0,0,157222,0,3005,0,0,180008,0,0,0,0,174343,0,0,1.8007153857336906
319,12093,5.959,582.50916,DG 32:2|DG 14:0_18:2,[M+NH4]+,True,9.73,582.50922,410,True,True,True,100.0,99.9,65.0,84.1,100.0,0,120171,299329,0,49919,0,160776,246990,0,0,0,145468,304471,0,0,1.8007193405117223
21780,18752,0.455,821.77289,w/o MS2:NAGly 21:0;O(FA 28:1),[M+H]+,False,13.61,821.77051,530,True,True,False,97.2,99.1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.800724857254643
3682,1404,5.859,187.06149,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,647230,0,0,0,0,0,566677,717604,791890,0,707608,0,725470,733525,0,1.8007543939518347
13318,14551,3.971,685.18683,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,119167,0,0,0,0,0,0,0,1.8008470831800898
33,18065,5.773,803.63489,1_PC 17:0-20:3-d5_ISTD_[M+H]+,[M+Na]+,True,5.81,803.62726,annotated by user-defined text library,True,True,False,92.6,95.8,,,,35722880,41777192,40056320,40938856,30355426,36924340,44863364,42152932,36655724,30751916,36586192,41189952,41700800,36335408,29505774,1.8010605364356904
10017,8816,3.44,457.18463,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,20512,53955,94609,0,39300,27001,53263,114563,0,44963,31597,53359,113144,0,43825,1.801124337093063
3414,1126,10.938,175.14845,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,0,0,49677,0,541453,0,0,0,0,604956,0,0,0,0,615306,1.8011737674393893
261,14390,9.199,678.67841,Cer 44:1;2O|Cer 20:1;2O/24:0,[M+H]+,True,13.5,678.6759,410,True,True,True,100.0,99.9,78.0,88.9,100.0,13706,0,1415623,0,17247,38664,0,1433180,0,21793,42977,0,1444794,0,17101,1.8011810650916231
