Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#1 117.0000@6.4998 MS1+,,1,mainlib,49957,234.111,234,207,964,69.2,"Lactic Acid, 2TMS derivative",17596962,78865,HXRGKEOWDNVHPA-UHFFFAOYSA-N
#2 147.0000@11.8222 MS1+,,1,replib,12337,569.288,569,336,950,19.2,"d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705679,306816,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#3 147.0000@7.8827 MS1+,,1,mainlib,168874,204.111,204,180,836,95.1,"Urea, 2TMS derivative",18297637,149254,MASDFXZJIDNRTR-UHFFFAOYSA-N
#4 147.0000@11.9322 MS1+,,1,replib,12339,569.288,569,278,960,23.7,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705737,306821,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#6 217.0000@12.1691 MS1+,,1,mainlib,52620,438.211,438,-359,831,7,".beta.-Lyxopyranose, 4TMS derivative",56271660,25183,KEOUSSOURMHEKN-UHFFFAOYSA-N
#7 116.0000@6.8450 MS1+,,1,mainlib,118505,233.127,233,192,959,38.6,"L-Alanine, 2TMS derivative",27844071,79162,FRWXSKQFKDEAOY-QMMMGPOBSA-N
#8 147.0000@7.2681 MS1+,,1,replib,29333,248.126,248,484,937,84.3,"3-Hydroxybutyric acid, 2TMS derivative",55133943,71674,YWRIHOYCAHATJN-UHFFFAOYSA-N
#9 142.0000@8.3365 MS1+,,1,replib,28585,259.142,259,526,977,80.3,"L-Proline, 2TMS derivative",7364478,452791,DKGIXVJPGFXLRM-UHFFFAOYSA-N
#10 204.0000@12.1544 MS1+,,1,mainlib,52314,540.261,540,-148,956,6.8,"Glucopyranose, 5TMS derivative",0,157497,PPFHNIVPOLWPCF-UHFFFAOYSA-N
#12 144.0000@7.7022 MS1+,,1,mainlib,164203,261.158,261,125,915,54.4,"L-Norvaline, 2TMS derivative",7364456,12688,FPLJIDNLONPGBI-JTQLQIEISA-N
#13 129.0000@17.3729 MS1+,,1,replib,25955,458.394,458,165,906,47.9,"Cholesterol, TMS derivative",1856059,74551,CBVJJGRSRFXUPK-OCBUSCMESA-N
#14 117.0000@12.5993 MS1+,,1,replib,11923,328.28,328,333,898,80.9,"Palmitic Acid, TMS derivative",55520893,150381,HKNNSWCACQFVIK-UHFFFAOYSA-N
#15 174.0000@8.3797 MS1+,,1,replib,33558,291.151,291,113,931,52.2,"Glycine, 3TMS derivative",5630820,153543,YVBMCPFZLGEMJT-UHFFFAOYSA-N
#16 299.0000@8.1021 MS1+,,1,replib,41972,314.095,314,166,847,90.3,"Silanol, trimethyl-, phosphate (3:1)",10497059,378727,QJMMCGKXBZVAEI-UHFFFAOYSA-N
#17 156.0000@9.8122 MS1+,,1,mainlib,181369,273.122,273,356,982,61.6,"5-Oxoproline, 2TMS",213608516,283865,QACGFKAUSXGLCU-UHFFFAOYSA-N
#19 87.0000@12.0515 MS1+,,1,replib,12999,200.178,200,165,947,27.8,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#20 87.0000@8.5264 MS1+,,1,replib,12999,200.178,200,196,938,36.5,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#21 87.0000@7.8132 MS1+,,1,replib,12988,172.146,172,-197,879,50.2,"Nonanoic acid, methyl ester",1731846,107485,IJXHLVMUNBOGRR-UHFFFAOYSA-N
#22 87.0000@11.0019 MS1+,,1,replib,13020,242.225,242,-107,930,23,Methyl tetradecanoate,124107,36034,ZAZKJZBWRNNLDS-UHFFFAOYSA-N
#23 87.0000@9.8347 MS1+,,1,replib,13025,214.193,214,248,955,65.2,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
