Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#1 147.0000@8.2967 MS1+,,1,replib,29306,276.121,276,-256,847,34.6,"Ethylmalonic acid, 2TMS derivative",55557249,281723,NGCCUIISFUEMFA-UHFFFAOYSA-N
#3 204.0000@17.3250 MS1+,,1,mainlib,233884,549.279,549,-278,839,17.7,"2-Methyl-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutanenitrile, 4TMS",0,503563,XEUNIPZNQQNKGO-YISAACIPSA-N
#4 73.0000@7.2530 MS1+,,1,replib,12154,234.111,234,160,932,60,"Lactic Acid, 2TMS derivative",17596962,281711,HXRGKEOWDNVHPA-UHFFFAOYSA-N
#5 147.0000@9.6976 MS1+,,1,replib,29520,204.111,204,-234,829,72,"Urea, 2TMS derivative",18297637,287789,MASDFXZJIDNRTR-UHFFFAOYSA-N
#6 73.0000@6.2583 MS1+,,1,mainlib,47638,166.04,166,-113,934,18.4,Chloropentamethyldisilane,0,423783,GJCAUTWJWBFMFU-UHFFFAOYSA-N
#8 205.0000@17.5836 MS1+,,1,replib,12339,569.288,569,-258,857,35.3,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705737,306821,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#9 117.0000@6.5597 MS1+,,1,replib,22882,220.131,220,251,961,55.1,"Propylene glycol, 2TMS derivative",17887273,67942,KNPUTZLNTMEYOY-UHFFFAOYSA-N
#11 218.0000@17.7955 MS1+,,1,mainlib,244163,615.115,615,103,897,46.3,"3-Iodo-L-thyronine, 3TMS derivative",0,479251,BXEAZBXWIMFXIN-QFIPXVFZSA-N
#14 73.0000@8.1389 MS1+,,1,mainlib,50643,234.074,234,-100,949,46.8,"Oxalic acid, 2TMS derivative",18294047,352455,DDCDOSJHFOGNRO-UHFFFAOYSA-N
#15 147.0000@17.3788 MS1+,,1,replib,12270,438.211,438,-301,850,31.6,"Erythro-Pentonic acid, 2-deoxy-3,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",74742306,62759,YBBDPOSMYVZLKS-UHFFFAOYSA-N
#16 73.0000@19.2825 MS1+,,1,replib,12342,612.301,612,233,896,71.2,"Myo-Inositol, 6TMS",2582798,18524,FRTKXRNTVMCAKI-HPEVMFQJSA-N
#20 73.0000@21.8285 MS1+,,1,mainlib,50640,497.099,497,-138,899,39,"5-(4-Bromophenyl)isoxazole-3-carbohydrazide, 3TMS",0,506789,CNLIXPGNXLQZEX-VZCXRCSSSA-N
#25 103.0000@17.1005 MS1+,,1,replib,12080,569.288,569,-107,924,27.8,"D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime",56196146,380174,ACDMQGXCXUQPRR-FCDQGJHFSA-N
#28 73.0000@20.4431 MS1+,,1,replib,13322,132.097,132,-371,817,29.1,"Isopropyl alcohol, TMS derivative",1825645,3030,NNLPAMPVXAPWKG-UHFFFAOYSA-N
#29 174.0000@9.4363 MS1+,,1,mainlib,203251,393.201,393,-184,907,9.4,"L-Isoserine, N,N,O-tri(trimethylsilyl)-, trimethylsilyl ester",0,454973,YDPGWSWLRNAOEA-UHFFFAOYSA-N
#30 73.0000@6.8568 MS1+,,1,mainlib,48330,270.238,270,-229,834,27.8,3-Hydroxy-2-isopropenyldecyltrimethylsilane,0,432701,LHGICPWDLVAOSU-UHFFFAOYSA-N
#31 156.0000@13.1760 MS1+,,1,mainlib,181368,273.122,273,255,977,62.2,"DL-Pyroglutamic acid, 2TMS",0,485772,QACGFKAUSXGLCU-UHFFFAOYSA-N
#33 147.0000@7.8336 MS1+,,1,replib,29343,234.074,234,-168,890,26.9,"Oxalic acid, 2TMS derivative",18294047,141285,DDCDOSJHFOGNRO-UHFFFAOYSA-N
#34 73.0000@25.2052 MS1+,,1,mainlib,18413,218.109,218,-223,815,77.7,"Alanylglycine, TMS",-475967,475967,OIKROLCDGDKWOB-LURJTMIESA-N
#35 147.0000@12.9942 MS1+,,1,replib,12069,512.266,512,-118,881,57.9,"Adonitol, 5TMS",32381536,63974,SUZLPERYXSOGNY-ACDBMABISA-N
#36 73.0000@22.4676 MS1+,,1,mainlib,50732,304.153,304,242,912,54.7,"Malonic acid, bis(2-trimethylsilylethyl ester",90744459,194847,XETCQVAKITTXBL-UHFFFAOYSA-N
#37 160.0000@12.4823 MS1+,,1,mainlib,32291,175.103,175,336,948,85.7,"N,N-Dimethylglycine, TMS derivative",0,333184,WMROMLLACOZNIQ-UHFFFAOYSA-N
#39 73.0000@20.0230 MS1+,,1,mainlib,19570,104.084,104,125,915,59.4,"1-Propanol, 2-ethoxy-",19089475,1270,DEDUBNVYPMOFDR-UHFFFAOYSA-N
#40 174.0000@10.4446 MS1+,,1,mainlib,203303,430.229,430,-359,837,21.6,"3-Amino-N-(naphthalen-2-yl)propanamide, 3TMS",0,497656,GZDWDBCQCLEOCI-UHFFFAOYSA-N
#42 147.0000@16.9075 MS1+,,1,mainlib,52581,344.114,344,-315,816,48.1,"2-(4-Chlorophenoxy)acetohydrazide, 2TMS derivative",0,475468,NZQQYZLDSVWDRG-UHFFFAOYSA-N
#44 73.0000@19.8010 MS1+,,1,mainlib,21429,88.008,88,-224,863,35.4,"1-Butyne, 3-chloro-",21020246,156186,PZFBULOUMNPBFA-UHFFFAOYSA-N
#49 73.0000@11.1228 MS1+,,1,mainlib,33160,276.169,276,-275,810,63,"2-Amino-3-(dimethylamino)propionic acid, 2TMS",0,499369,ULCGQMMOLRYQPU-UHFFFAOYSA-N
#52 73.0000@11.4515 MS1+,,1,replib,12161,335.177,335,106,855,87.3,"L-Threonine, 3TMS derivative",7537022,79160,GTYBQDCOPQDAPP-NEPJUHHUSA-N
#53 73.0000@12.5094 MS1+,,1,mainlib,50643,234.074,234,-334,821,21.8,"Oxalic acid, 2TMS derivative",18294047,352455,DDCDOSJHFOGNRO-UHFFFAOYSA-N
#56 73.0000@32.1057 MS1+,,1,mainlib,50175,324.194,324,-259,818,73.1,"1,8-cis-Undecadien-5-yne 3,7-bis-trimethylsilyl ether",69948498,73868,FDGMUOLQCWPXOG-QBFSEMIESA-N
#64 73.0000@12.3427 MS1+,,1,mainlib,33160,276.169,276,-194,814,59.5,"2-Amino-3-(dimethylamino)propionic acid, 2TMS",0,499369,ULCGQMMOLRYQPU-UHFFFAOYSA-N
#67 73.0000@22.8227 MS1+,,1,replib,9032,74.055,74,-107,969,20.8,"Silane, trimethyl-",993077,63371,PQDJYEQOELDLCP-UHFFFAOYSA-N
#68 158.0000@10.2670 MS1+,,1,replib,31191,275.174,275,-320,807,47.1,"L-Isoleucine, 2TMS derivative",7483923,414645,JQJPJSDLFYVVEY-QWRGUYRKSA-N
#70 188.0000@12.8206 MS1+,,1,mainlib,33023,347.11,347,225,866,60.4,"3-[(3-Fluorophenyl)sulfonyl]-N,N-dimethyl-1H-pyrrolo[2,3-b]pyridine-1-ethanamine",633304275,494446,SFSFIDVAEMDPIP-UHFFFAOYSA-N
#71 217.0000@15.4814 MS1+,,1,replib,12576,512.266,512,-127,855,64.4,"L-Arabinitol, 5TMS",14199736,79245,SUZLPERYXSOGNY-OALUTQOASA-N
#73 174.0000@10.7997 MS1+,,1,mainlib,203875,287.192,287,-155,851,60.5,1-Octylsilatrane,0,427343,RPEZIKXYNXVEST-UHFFFAOYSA-N
#74 246.0000@14.3373 MS1+,,1,replib,39883,363.172,363,-157,865,47.4,"L-Glutamic acid, 3TMS derivative",15985076,153388,STTWTJDZFSSNFS-LBPRGKRZSA-N
#78 251.0000@14.3011 MS1+,,1,mainlib,263544,286.051,286,-256,843,55.5,2-Methyl-3-(2-chloro-5-hydroxyphenyl)-4(3H)-quinazolinone,51837913,104327,XWCUMWMKXIUEHP-UHFFFAOYSA-N
#81 147.0000@12.7381 MS1+,,1,replib,12361,350.14,350,122,840,92,"Malic acid, 3TMS derivative",38166119,79021,QCOBWZRPFJZHGU-UHFFFAOYSA-N
#90 117.0000@33.6530 MS1+,,1,mainlib,46023,219.199,219,165,910,68,4-tert-butyl-ethylamphetamine,0,378904,GLPKXYRWKJNKAU-UHFFFAOYSA-N
