Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#1 147.0000@5.8303 MS1+,,1,replib,29328,234.111,234,192,952,73.6,"Lactic Acid, 2TMS derivative",17596962,331664,HXRGKEOWDNVHPA-UHFFFAOYSA-N
#2 147.0000@11.1183 MS1+,,1,replib,12336,569.288,569,278,955,17.4,"d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-",128705646,306819,LLVFXXKDPAPSCJ-HAVVHWLPSA-N
#3 147.0000@11.2261 MS1+,,1,replib,12339,569.288,569,278,951,17,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705737,306821,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#4 290.0000@13.5086 MS1+,,1,mainlib,280239,580.249,580,200,888,92.5,"Edetic Acid, 4TMS derivative",0,366669,CRAGZODMDSNPHZ-UHFFFAOYSA-N
#6 299.0000@7.3424 MS1+,,1,replib,41975,314.095,314,168,842,89.4,"Silanol, trimethyl-, phosphate (3:1)",10497059,334839,QJMMCGKXBZVAEI-UHFFFAOYSA-N
#7 147.0000@6.5437 MS1+,,1,replib,29335,248.126,248,312,940,84.8,"3-Hydroxybutyric acid, 2TMS derivative",55133943,332958,YWRIHOYCAHATJN-UHFFFAOYSA-N
#8 147.0000@6.3105 MS1+,,1,mainlib,168157,316.262,316,-331,842,16.4,6-Ethyl-3-pentamethyldisilyloxydecane,0,216897,RYFQINPFLKBIDN-UHFFFAOYSA-N
#9 204.0000@11.4721 MS1+,,1,replib,12543,540.261,540,-170,915,6,"D-Galactose, 5TMS derivative",6736943,18303,PPTMWEDTYQRQBC-BQJUDKOJSA-N
#10 147.0000@7.1797 MS1+,,1,mainlib,168874,204.111,204,224,854,95.5,"Urea, 2TMS derivative",18297637,149254,MASDFXZJIDNRTR-UHFFFAOYSA-N
#12 129.0000@16.6054 MS1+,,1,replib,25955,458.394,458,146,898,45.4,"Cholesterol, TMS derivative",1856059,74551,CBVJJGRSRFXUPK-OCBUSCMESA-N
