Unknown,uInChIKey,Rank,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,CAS,NIST r.n.,InChIKey
#2 147.0000@5.4999 MS1+,,1,replib,29328,234.111,234,192,953,74,"Lactic Acid, 2TMS derivative",17596962,331664,HXRGKEOWDNVHPA-UHFFFAOYSA-N
#3 147.0000@6.0252 MS1+,,1,replib,29341,262.106,262,-107,970,14.5,"Methylmalonic acid, 2TMS derivative",40333071,332955,LJDAAXOEMCESSS-UHFFFAOYSA-N
#4 147.0000@6.8651 MS1+,,1,mainlib,168874,204.111,204,299,880,96.9,"Urea, 2TMS derivative",18297637,149254,MASDFXZJIDNRTR-UHFFFAOYSA-N
#5 147.0000@10.8155 MS1+,,1,replib,12340,569.288,569,342,954,18.1,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-",130405106,306820,LLVFXXKDPAPSCJ-HAVVHWLPSA-N
#6 147.0000@10.9252 MS1+,,1,replib,12339,569.288,569,244,947,21.6,"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-",128705737,306821,LLVFXXKDPAPSCJ-QJOMJCCJSA-N
#7 103.0000@13.1880 MS1+,,1,mainlib,280239,580.249,580,150,869,93,"Edetic Acid, 4TMS derivative",0,366669,CRAGZODMDSNPHZ-UHFFFAOYSA-N
#8 147.0000@6.2487 MS1+,,1,replib,29335,248.126,248,438,921,76.3,"3-Hydroxybutyric acid, 2TMS derivative",55133943,332958,YWRIHOYCAHATJN-UHFFFAOYSA-N
#10 116.0000@5.8282 MS1+,,1,mainlib,118506,233.127,233,165,942,35.3,"Alanine, 2TMS derivative",2899447,476603,FRWXSKQFKDEAOY-UHFFFAOYSA-N
#11 117.0000@12.4922 MS1+,,1,replib,22899,356.311,356,290,900,84.7,"Stearic acid, TMS derivative",18748919,472480,DDLPZVTUKLKVQB-UHFFFAOYSA-N
#12 299.0000@7.0542 MS1+,,1,replib,41972,314.095,314,224,853,93.5,"Silanol, trimethyl-, phosphate (3:1)",10497059,378727,QJMMCGKXBZVAEI-UHFFFAOYSA-N
#13 117.0000@11.5916 MS1+,,1,replib,11923,328.28,328,441,914,84.3,"Palmitic Acid, TMS derivative",55520893,150381,HKNNSWCACQFVIK-UHFFFAOYSA-N
#14 174.0000@7.3306 MS1+,,1,replib,33559,291.151,291,133,930,58.9,"Glycine, 3TMS derivative",5630820,452907,YVBMCPFZLGEMJT-UHFFFAOYSA-N
#15 142.0000@7.2835 MS1+,,1,replib,28585,259.142,259,506,943,77,"L-Proline, 2TMS derivative",7364478,452791,DKGIXVJPGFXLRM-UHFFFAOYSA-N
#16 156.0000@8.7594 MS1+,,1,replib,30952,273.122,273,146,900,60.2,"L-5-Oxoproline, 2TMS",30274772,71660,QACGFKAUSXGLCU-VIFPVBQESA-N
#17 141.0000@8.5899 MS1+,,1,replib,5830,141.061,141,-258,853,28.4,"Cyclohexane, isothiocyanato-",1122823,90836,MZSJGCPBOVTKHR-UHFFFAOYSA-N
#18 144.0000@6.6681 MS1+,,1,mainlib,164203,261.158,261,133,928,60,"L-Norvaline, 2TMS derivative",7364456,12688,FPLJIDNLONPGBI-JTQLQIEISA-N
#19 87.0000@11.0281 MS1+,,1,replib,13025,214.193,214,-100,950,35.4,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
#20 87.0000@8.7859 MS1+,,1,replib,13025,214.193,214,207,964,67,"Dodecanoic acid, methyl ester",111820,77568,UQDUPQYQJKYHQI-UHFFFAOYSA-N
#21 204.0000@11.1839 MS1+,,1,replib,12543,540.261,540,-253,887,5.8,"D-Galactose, 5TMS derivative",6736943,18303,PPTMWEDTYQRQBC-BQJUDKOJSA-N
#22 87.0000@7.4786 MS1+,,1,replib,13009,186.162,186,189,944,46.4,"Decanoic acid, methyl ester",110429,53552,YRHYCMZPEVDGFQ-UHFFFAOYSA-N
#23 129.0000@16.1182 MS1+,,1,replib,25955,458.394,458,120,892,44.2,"Cholesterol, TMS derivative",1856059,74551,CBVJJGRSRFXUPK-OCBUSCMESA-N
#24 87.0000@9.9619 MS1+,,1,replib,13020,242.225,242,-103,933,24.5,Methyl tetradecanoate,124107,36034,ZAZKJZBWRNNLDS-UHFFFAOYSA-N
#25 156.0000@10.1824 MS1+,,1,replib,30959,362.188,362,149,826,80.6,"L-Glutamine, 3TMS derivative",70591285,414648,KQLPBEWWXARCMA-UHFFFAOYSA-N
#27 87.0000@6.7730 MS1+,,1,replib,12988,172.146,172,141,944,71,"Nonanoic acid, methyl ester",1731846,107485,IJXHLVMUNBOGRR-UHFFFAOYSA-N
#29 117.0000@12.3874 MS1+,,1,replib,11921,354.295,354,116,907,69.9,"Oleic Acid, (Z)-, TMS derivative",21556263,141484,GAODWSYPSJBKGB-SEYXRHQNSA-N
#30 91.0000@6.2751 MS1+,,1,replib,17040,180.097,180,184,935,66.5,"Benzyl alcohol, TMS derivative",14642796,7430,AOKMFXQCRBQJOP-UHFFFAOYSA-N
#31 147.0000@10.5989 MS1+,,1,mainlib,50985,452.227,452,457,949,80.8,"1,5-Anhydroglucitol, 4TMS derivative",82682675,380138,BKZSHWBRUJTUIK-UHFFFAOYSA-N
#32 87.0000@6.0409 MS1+,,1,replib,12979,158.131,158,336,944,90.3,"Octanoic acid, methyl ester",111115,428586,JGHZJRVDZXSNKQ-UHFFFAOYSA-N
#33 156.0000@10.9683 MS1+,,1,mainlib,51716,434.264,434,102,875,85.4,"L-Lysine, 4TMS derivative",55429077,465716,NAMWUGJQNPIVND-KRWDZBQOSA-N
#34 142.0000@10.4254 MS1+,,1,replib,28588,420.248,420,155,859,92.5,"L-Ornithine, 4TMS derivative",55556702,141299,PUQPCLIKLCAPHV-UHFFFAOYSA-N
#35 87.0000@11.9934 MS1+,,1,replib,12999,200.178,200,109,924,20.4,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#36 218.0000@11.0634 MS1+,,1,replib,38128,397.192,397,233,897,79.5,"L-Tyrosine, 3TMS derivative",51220736,79168,WMWBCQXPKSQMOK-KRWDZBQOSA-N
#37 174.0000@6.7955 MS1+,,1,replib,12464,319.182,319,248,956,78.1,"4-Aminobutanoic acid, 3TMS derivative",39508231,15082,HMZQEGNJWXKANK-UHFFFAOYSA-N
#38 158.0000@7.2218 MS1+,,1,replib,31190,275.174,275,155,901,69.6,"L-Isoleucine, 2TMS derivative",7483923,79172,JQJPJSDLFYVVEY-QWRGUYRKSA-N
#39 147.0000@10.3980 MS1+,,1,replib,12683,480.185,480,143,869,91,"Citric acid, 4TMS derivative",14330973,71548,VFGAVMGYDWDESE-UHFFFAOYSA-N
#40 217.0000@11.1183 MS1+,,1,mainlib,50991,466.206,466,-367,821,16.2,"Allonic acid, .gamma.-lactone, 4TMS",55515349,17878,FTOCXQVQZOFUDF-QBPKDAKJSA-N
#41 87.0000@12.8803 MS1+,,1,replib,12999,200.178,200,103,917,24.8,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#42 87.0000@13.6976 MS1+,,1,mainlib,56268,270.256,270,116,943,47.8,"Pentadecanoic acid, 14-methyl-, methyl ester",5129602,158474,WAKCWJNDXBPEBP-UHFFFAOYSA-N
#43 147.0000@7.3561 MS1+,,1,replib,29392,206.079,206,224,909,32.8,"Silanol, trimethyl-, carbonate (2:1)",39981890,9465,POWCFMBNSWHQEJ-UHFFFAOYSA-N
#46 204.0000@7.6540 MS1+,,1,mainlib,233995,321.161,321,413,906,75.9,"Serine, 3TMS derivative",64625178,333286,MBEDINMZZORSJN-NSHDSACASA-N
#47 87.0000@14.4532 MS1+,,1,mainlib,56268,270.256,270,138,936,49.6,"Pentadecanoic acid, 14-methyl-, methyl ester",5129602,158474,WAKCWJNDXBPEBP-UHFFFAOYSA-N
#48 117.0000@7.8304 MS1+,,1,replib,12160,335.177,335,512,917,95.4,"L-Threonine, 3TMS derivative",7537022,15549,GTYBQDCOPQDAPP-NEPJUHHUSA-N
#49 87.0000@15.1578 MS1+,,1,replib,12999,200.178,200,-217,880,22.9,"Undecanoic acid, methyl ester",1731868,77566,XPQPWPZFBULGKT-UHFFFAOYSA-N
#50 218.0000@9.4003 MS1+,,1,mainlib,52674,309.158,309,631,929,53.2,"Phenylalanine, 2TMS derivative",2899527,333658,DWNFNBPPSFIIBG-UHFFFAOYSA-N
#51 171.0000@9.4778 MS1+,,1,mainlib,199485,325.119,325,-278,838,52.2,"1(2H)-Pyrazinecarboxylic acid, 4-[2-[(3-chlorophenyl)amino]-2-oxoethyl]tetrahydro-, ethyl ester",0,319912,KWHCCGQHSUMLTR-UHFFFAOYSA-N
#52 87.0000@15.8919 MS1+,,1,mainlib,56262,186.162,186,-168,873,38.3,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#53 147.0000@8.9094 MS1+,,1,mainlib,51073,424.195,424,237,872,81.7,"2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)",38191887,352533,IEXXQBIANMZJJP-UHFFFAOYSA-N
#55 146.0000@12.6971 MS1+,,1,mainlib,244152,528.182,528,-103,872,81.9,"L-Cystine, 4TMS derivative",69688444,333695,QLOSYBGVFCKXGZ-UHFFFAOYSA-N
#56 147.0000@9.6346 MS1+,,1,mainlib,290544,341.133,341,136,813,91.6,"Taurine, 3TMS derivative",0,366685,MYBLXZCUTSINIT-UHFFFAOYSA-N
#62 246.0000@9.2974 MS1+,,1,mainlib,261023,363.172,363,122,863,90.4,"L-Glutamic acid, 3TMS derivative",15985076,333275,STTWTJDZFSSNFS-LBPRGKRZSA-N
#63 87.0000@16.7562 MS1+,,1,mainlib,56262,186.162,186,-224,864,34.4,Methyl 8-methyl-nonanoate,-452009,452009,UXZNAWMXEJTQCC-UHFFFAOYSA-N
#64 147.0000@14.7178 MS1+,,1,mainlib,53957,687.293,687,391,884,98.5,".beta.-D-Glucopyranosiduronic acid, 4-[acetyl(trimethylsilyl)amino]phenyl 2,3,4-tris-O-(trimethylsilyl)-, trimethylsilyl ester",55836516,141463,PKXHUOYUDRBHHR-UHFFFAOYSA-N
#69 147.0000@7.4433 MS1+,,1,replib,12322,322.145,322,-115,812,67.7,"Glyceric acid, 3TMS derivative",38191876,71911,VTLZEKUPFUIGJQ-UHFFFAOYSA-N
#70 95.0000@12.3668 MS1+,,1,replib,13215,352.28,352,146,899,66.9,"9,12-Octadecadienoic acid (Z,Z)-, TMS derivative",56259075,24454,MXGBYOVWUYSJSN-UTJQPWESSA-N
#73 147.0000@8.3919 MS1+,,1,replib,12348,335.14,335,-161,832,83.1,"2-Aminomalonic acid, N,O,O,-TMS",959080514,465391,HFJBTSWFKQDXSU-UHFFFAOYSA-N
#83 116.0000@9.5963 MS1+,,1,mainlib,49837,348.172,348,-103,830,75.2,"Asparagine, 3TMS derivative",55649622,333260,XENSVLLMVLKHGJ-NSHDSACASA-N
#84 147.0000@14.0328 MS1+,,1,mainlib,51138,918.432,918,-217,879,24.4,"D-(+)-Turanose, octakis(trimethylsilyl) ether",0,380084,ZQSHHKRTYVNWEC-UHFFFAOYSA-N
#86 89.0000@6.6358 MS1+,,1,mainlib,52216,231.129,231,110,806,93.1,2-Ketoisocaproic acid mo-tms,0,332234,OWRQZYHPMBQGDO-LUAWRHEFSA-N
