,position name,Library,Id,Mass,Lib MW,InLib,MF,Prob(%),Name,Formula,CAS,InChIKey,VIP
0,#2 441.2700@51.6142 MS1+,"0    mainlib
Name: Library, dtype: object","0    32062.0
Name: Id, dtype: float64","0    646.451
Name: Mass, dtype: float64","0    646.0
Name: Lib MW, dtype: float64","0    189.0
Name: InLib, dtype: float64","0    925.0
Name: MF, dtype: float64","0    54.5
Name: Prob(%), dtype: float64","0    Phenol, 2,4-bis(1,1-dimethylethyl)-, phosphite...
Name: Name, dtype: object","0    C42H63O3P
Name: Formula, dtype: object","0    31570044.0
Name: CAS, dtype: float64","0    JKIJEFPNVSHHEI-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0050687334100654
1,#183 147.0200@20.3248 MS1+,"55    replib
Name: Library, dtype: object","55    12269.0
Name: Id, dtype: float64","55    346.2
Name: Mass, dtype: float64","55    346.0
Name: Lib MW, dtype: float64","55   -155.0
Name: InLib, dtype: float64","55    854.0
Name: MF, dtype: float64","55    52.3
Name: Prob(%), dtype: float64","55    Butanedioic acid, 2TBDMS derivative
Name: Name, dtype: object","55    C16H34O4Si2
Name: Formula, dtype: object","55    98847520.0
Name: CAS, dtype: float64","55    XQWHUDQRNDFVPG-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.061337541119084
2,#45 147.0300@13.3688 MS1+,"29    mainlib
Name: Library, dtype: object","29    50996.0
Name: Id, dtype: float64","29    303.205
Name: Mass, dtype: float64","29    303.0
Name: Lib MW, dtype: float64","29    202.0
Name: InLib, dtype: float64","29    875.0
Name: MF, dtype: float64","29    91.1
Name: Prob(%), dtype: float64","29    Glycine, 2TBDMS derivative
Name: Name, dtype: object","29    C14H33NO2Si2
Name: Formula, dtype: object","29    107715888.0
Name: CAS, dtype: float64","29    KWGCEVDISSEKES-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0669787613859285
3,#24 341.2400@39.0408 MS1+,"17    mainlib
Name: Library, dtype: object","17    293826.0
Name: Id, dtype: float64","17    386.34
Name: Mass, dtype: float64","17    386.0
Name: Lib MW, dtype: float64","17    178.0
Name: InLib, dtype: float64","17    915.0
Name: MF, dtype: float64","17    80.6
Name: Prob(%), dtype: float64","17    1,3-Dimethoxypropan-2-yl stearate
Name: Name, dtype: object","17    C23H46O4
Name: Formula, dtype: object","17    0.0
Name: CAS, dtype: float64","17    LEBHYYRSLSCGAZ-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.0693981055666058
4,#55 152.9600@7.4699 MS1+,"35    replib
Name: Library, dtype: object","35    17893.0
Name: Id, dtype: float64","35    153.079
Name: Mass, dtype: float64","35    153.0
Name: Lib MW, dtype: float64","35    106.0
Name: InLib, dtype: float64","35    999.0
Name: MF, dtype: float64","35    18.8
Name: Prob(%), dtype: float64","35    1H-Pyrrole-2-acetic acid, 1-methyl-, methyl ester
Name: Name, dtype: object","35    C8H11NO2
Name: Formula, dtype: object","35    51856792.0
Name: CAS, dtype: float64","35    CGYVDYLHQYNGFC-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1118618333934904
5,#43 147.0200@6.7193 MS1+,"27    replib
Name: Library, dtype: object","27    29355.0
Name: Id, dtype: float64","27    246.184
Name: Mass, dtype: float64","27    246.0
Name: Lib MW, dtype: float64","27   -278.0
Name: InLib, dtype: float64","27    838.0
Name: MF, dtype: float64","27    41.0
Name: Prob(%), dtype: float64","27    Disiloxane, 1,3-bis(1,1-dimethylethyl)-1,1,3,3...
Name: Name, dtype: object","27    C12H30OSi2
Name: Formula, dtype: object","27    67875552.0
Name: CAS, dtype: float64","27    FGTJJHCZWOVVNH-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.1268801516354396
6,#350 111.0700@30.9652 MS1+,"56    replib
Name: Library, dtype: object","56    4951.0
Name: Id, dtype: float64","56    242.261
Name: Mass, dtype: float64","56    242.0
Name: Lib MW, dtype: float64","56    239.0
Name: InLib, dtype: float64","56    822.0
Name: MF, dtype: float64","56    88.3
Name: Prob(%), dtype: float64","56    2-Hexadecanol
Name: Name, dtype: object","56    C16H34O
Name: Formula, dtype: object","56    14852314.0
Name: CAS, dtype: float64","56    FVDRFBGMOWJEOR-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.203769044597501
7,#74 302.1400@29.7703 MS1+,"42    replib
Name: Library, dtype: object","42    11990.0
Name: Id, dtype: float64","42    475.297
Name: Mass, dtype: float64","42    475.0
Name: Lib MW, dtype: float64","42    239.0
Name: InLib, dtype: float64","42    827.0
Name: MF, dtype: float64","42    96.6
Name: Prob(%), dtype: float64","42    L-Aspartic acid, 3TBDMS derivative
Name: Name, dtype: object","42    C22H49NO4Si3
Name: Formula, dtype: object","42    107715968.0
Name: CAS, dtype: float64","42    QQXNMPLNDTUYAN-KRWDZBQOSA-N
Name: InChIKey, dtype: object",1.2304509504938448
8,#92 191.0800@15.2829 MS1+,"45    replib
Name: Library, dtype: object","45    35663.0
Name: Id, dtype: float64","45    206.167
Name: Mass, dtype: float64","45    206.0
Name: Lib MW, dtype: float64","45   -117.0
Name: InLib, dtype: float64","45    895.0
Name: MF, dtype: float64","45    47.4
Name: Prob(%), dtype: float64","45    2,4-Di-tert-butylphenol
Name: Name, dtype: object","45    C14H22O
Name: Formula, dtype: object","45    96764.0
Name: CAS, dtype: float64","45    ICKWICRCANNIBI-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2316079184295028
9,#133 111.0800@18.5982 MS1+,"52    mainlib
Name: Library, dtype: object","52    48212.0
Name: Id, dtype: float64","52    196.165
Name: Mass, dtype: float64","52    196.0
Name: Lib MW, dtype: float64","52   -201.0
Name: InLib, dtype: float64","52    829.0
Name: MF, dtype: float64","52    59.2
Name: Prob(%), dtype: float64","52    Cyclopropane, 2-methylene-1-pentyl-1-trimethyl...
Name: Name, dtype: object","52    C12H24Si
Name: Formula, dtype: object","52    167300472.0
Name: CAS, dtype: float64","52    XQSJVDUDKSGPPF-UHFFFAOYSA-N
Name: InChIKey, dtype: object",1.2497175119947506
